530732506.jpg, asian, 4.7791522923321505e-06, indian, 0.0005649609529657765, black, 3.770177728246033e-07, white, 98.09661496261448, middle eastern, 1.5929714794737981, dominant race, white, 
10213787.jpg, asian, 24.949070805200435, indian, 0.5931987668661793, black, 0.17732679629496292, white, 61.3514794530248, middle eastern, 5.811013974072215, dominant race, white, 
518225435.jpg, asian, 0.004099739817320369, indian, 0.004146061110077426, black, 2.9710554372286424e-05, white, 96.4659571647644, middle eastern, 2.464566193521023, dominant race, white, 
199708192.jpg, asian, 1.3093610189512173e-07, indian, 2.4576227010295292e-08, black, 1.8831227733287292e-10, white, 99.99381303860986, middle eastern, 0.002913698352218243, dominant race, white, 
513950194.jpg, asian, 2.035704760317003e-06, indian, 1.1053589155096688e-06, black, 3.4345738059160524e-09, white, 99.90488886833191, middle eastern, 0.03261901147197932, dominant race, white, 
6850501.jpg, asian, 16.29834622144699, indian, 0.5239383317530155, black, 0.12509290827438235, white, 68.69732141494751, middle eastern, 4.9008771777153015, dominant race, white, 
530601792.jpg, asian, 0.22254330106079578, indian, 0.5695038475096226, black, 0.014640517474617809, white, 63.85766863822937, middle eastern, 22.318902611732483, dominant race, white, 
504190310.jpg, asian, 0.008798379712970927, indian, 0.7025941740721464, black, 0.0023988302928046323, white, 59.2023491859436, middle eastern, 34.30497944355011, dominant race, white, 
13942577.jpg, asian, 0.027278263587504625, indian, 0.8363021537661552, black, 0.048665507347323, white, 79.83049750328064, middle eastern, 13.347412645816803, dominant race, white, 
11504871.jpg, asian, 0.04843898355011838, indian, 0.3186289539704974, black, 0.00741955866715544, white, 76.2843756336718, middle eastern, 11.91001168966154, dominant race, white, 
1110714.jpg, asian, 6.2697336077690125, indian, 0.01909556012833491, black, 0.004506404002313502, white, 87.8624975681305, middle eastern, 1.5146107412874699, dominant race, white, 
567846066.jpg, asian, 1.5399256921308368e-05, indian, 0.00012976339166166574, black, 1.4050611442469977e-06, white, 99.08362637953444, middle eastern, 0.4631916440198846, dominant race, white, 
